Время [c],Напряжение[B]
0.0000,2.0040
0.0007,1.9989
0.0012,2.0040
0.0019,1.9989
0.0025,2.0040
0.0032,2.0040
0.0039,2.0040
0.0046,1.9989
0.0052,2.0040
0.0059,2.0040
0.0066,2.0040
0.0073,2.0040
0.0079,1.9989
0.0086,2.0040
0.0093,1.9938
0.0100,2.0040
0.0108,2.0040
0.0115,2.0040
0.0122,1.9989
0.0129,2.0040
0.0137,2.0040
0.0143,2.0040
0.0150,2.0040
0.0157,2.0040
0.0163,2.0040
0.0170,1.9989
0.0177,2.0040
0.0184,2.0040
0.0190,2.0040
0.0197,2.0040
0.0204,2.0040
0.0211,2.0040
0.0217,2.0040
0.0226,1.9989
0.0232,2.0040
0.0239,1.9989
0.0246,1.9989
0.0252,2.0040
0.0259,2.0040
0.0274,2.0040
0.0282,1.9989
0.0297,1.9938
0.0305,1.9989
0.0312,2.0040
0.0320,1.9989
0.0328,2.0040
0.0336,1.9989
0.0343,2.0040
0.0351,1.9989
0.0358,1.9938
0.0365,2.0040
0.0372,1.9989
0.0379,1.9989
0.0386,1.9989
0.0392,1.9989
0.0400,2.0040
0.0407,1.9989
0.0413,1.9938
0.0420,1.9938
0.0426,1.9938
0.0433,1.9989
0.0440,1.9989
0.0447,1.9989
0.0455,1.9938
0.0462,1.9989
0.0468,1.9989
0.0475,1.9989
0.0483,1.9989
0.0489,1.9989
0.0496,1.9989
0.0503,1.9938
0.0509,2.0040
0.0516,1.9938
0.0522,2.0040
0.0529,1.9887
0.0535,1.9887
0.0542,1.9989
0.0549,2.0040
0.0555,2.0040
0.0561,1.9938
0.0568,1.9989
0.0574,2.0040
0.0581,1.9938
0.0587,1.9989
0.0594,1.9989
0.0600,1.9989
0.0607,1.9989
0.0613,1.9938
0.0620,1.9938
0.0626,1.9989
0.0633,1.9887
0.0639,1.9938
0.0646,1.9938
0.0652,2.0040
0.0659,1.9938
0.0665,1.9989
0.0672,1.9989
0.0679,1.9989
0.0686,1.9938
0.0692,1.9989
0.0699,1.9989
0.0705,1.9938
0.0712,1.9938
0.0719,1.9887
0.0726,1.9989
0.0732,1.9989
0.0738,1.9989
0.0745,1.9887
0.0751,1.9989
0.0758,1.9989
0.0764,1.9887
0.0771,1.9938
0.0778,1.9887
0.0784,1.9938
0.0790,1.9989
0.0797,1.9938
0.0803,1.9938
0.0810,1.9989
0.0816,1.9887
0.0823,1.9989
0.0829,1.9989
0.0838,1.9938
0.0845,2.0040
0.0851,1.9989
0.0857,1.9989
0.0864,1.9989
0.0870,1.9989
0.0877,1.9989
0.0884,1.9938
0.0891,1.9989
0.0897,1.9887
0.0904,1.9887
0.0910,1.9938
0.0917,1.9989
0.0923,1.9989
0.0930,1.9989
0.0937,1.9989
0.0944,1.9938
0.0950,1.9989
0.0957,1.9938
0.0963,1.9938
0.0970,1.9989
0.0976,1.9938
0.0983,1.9938
0.0990,1.9989
0.0996,1.9938
0.1003,1.9938
0.1010,1.9938
0.1017,1.9938
0.1023,1.9938
0.1030,1.9938
0.1037,1.9989
0.1044,1.9989
