Время [c],Напряжение[B]
0.0000,0.4870
0.0007,0.4870
0.0013,0.4870
0.0019,0.4820
0.0026,0.4870
0.0032,0.4870
0.0038,0.4870
0.0044,0.4820
0.0050,0.4820
0.0057,0.4820
0.0064,0.4820
0.0070,0.4870
0.0077,0.4870
0.0083,0.4820
0.0089,0.4870
0.0095,0.4921
0.0102,0.4870
0.0109,0.4870
0.0116,0.4870
0.0123,0.4820
0.0130,0.4820
0.0137,0.4870
0.0145,0.4820
0.0152,0.4820
0.0159,0.4820
0.0167,0.4870
0.0174,0.4870
0.0181,0.4820
0.0188,0.4820
0.0196,0.4921
0.0203,0.4870
0.0211,0.4820
0.0219,0.4820
0.0226,0.4820
0.0233,0.4870
0.0241,0.4870
0.0248,0.4820
0.0255,0.4820
0.0263,0.4820
0.0270,0.4820
0.0278,0.4870
0.0285,0.4820
0.0292,0.4870
0.0299,0.4870
0.0306,0.4820
0.0313,0.4870
0.0325,0.4870
0.0332,0.4820
0.0339,0.4820
0.0346,0.4870
0.0353,0.4820
0.0359,0.4820
0.0366,0.4870
0.0374,0.4870
0.0382,0.4870
0.0389,0.4820
0.0396,0.4870
0.0404,0.4870
0.0411,0.4870
0.0418,0.4870
0.0425,0.4820
0.0431,0.4820
0.0437,0.4870
0.0443,0.4870
0.0449,0.4820
0.0455,0.4820
0.0462,0.4820
0.0468,0.4870
0.0474,0.4820
0.0481,0.4820
0.0488,0.4820
0.0494,0.4870
0.0501,0.4870
0.0507,0.4870
0.0514,0.4820
0.0520,0.4870
0.0526,0.4870
0.0532,0.4870
0.0539,0.4820
0.0545,0.4870
0.0551,0.4820
0.0557,0.4870
0.0564,0.4820
0.0570,0.4820
0.0577,0.4820
0.0583,0.4870
0.0590,0.4870
0.0597,0.4820
0.0603,0.4870
0.0610,0.4820
0.0618,0.4820
0.0624,0.4921
0.0631,0.4820
0.0637,0.4820
0.0644,0.4870
0.0651,0.4820
0.0658,0.4820
0.0664,0.4820
0.0671,0.4820
0.0679,0.4870
0.0685,0.4820
0.0692,0.4870
0.0699,0.4870
0.0705,0.4820
0.0712,0.4870
0.0719,0.4921
0.0725,0.4769
0.0732,0.4870
0.0739,0.4820
0.0745,0.4870
0.0752,0.4820
0.0759,0.4820
0.0765,0.4870
0.0772,0.4820
0.0779,0.4820
0.0785,0.4870
0.0792,0.4870
0.0799,0.4820
0.0806,0.4820
0.0813,0.4870
0.0820,0.4820
0.0827,0.4820
0.0834,0.4870
0.0841,0.4921
0.0848,0.4870
0.0854,0.4769
0.0861,0.4820
0.0868,0.4870
0.0875,0.4870
0.0882,0.4870
0.0889,0.4820
0.0896,0.4870
0.0902,0.4820
0.0908,0.4820
0.0914,0.4870
0.0921,0.4820
0.0927,0.4870
0.0934,0.4870
0.0941,0.4820
0.0948,0.4870
0.0955,0.4820
0.0961,0.4820
0.0968,0.4820
0.0975,0.4820
0.0982,0.4820
0.0988,0.4870
0.0995,0.4820
0.1002,0.4870
0.1010,0.4870
0.1018,0.4870
0.1025,0.4870
0.1035,0.4870
0.1045,0.4820
0.1052,0.4820
0.1059,0.4921
0.1067,0.4820
0.1076,0.4870
0.1085,0.4820
0.1094,0.4820
0.1104,0.4820
0.1114,0.4820
0.1123,0.4820
0.1131,0.4870
0.1139,0.4870
0.1147,0.4820
0.1154,0.4870
0.1161,0.4820
0.1170,0.4870
0.1177,0.4870
0.1185,0.4820
0.1193,0.4870
0.1200,0.4820
0.1208,0.4870
0.1215,0.4820
0.1223,0.4820
0.1231,0.4820
0.1239,0.4870
0.1247,0.4870
0.1256,0.4820
0.1263,0.4820
0.1270,0.4820
0.1278,0.4820
0.1286,0.4820
0.1293,0.4870
0.1300,0.4870
0.1307,0.4870
0.1315,0.4921
0.1322,0.4870
0.1330,0.4820
0.1337,0.4870
0.1344,0.4870
0.1352,0.4820
0.1359,0.4870
0.1366,0.4921
0.1373,0.4820
0.1380,0.4870
0.1387,0.4820
0.1394,0.4820
0.1401,0.4820
0.1408,0.4820
0.1415,0.4870
0.1422,0.4820
0.1429,0.4921
0.1435,0.4870
0.1442,0.4870
0.1450,0.4870
0.1458,0.4921
0.1465,0.4870
0.1473,0.4870
0.1481,0.4870
0.1488,0.4870
0.1495,0.4820
0.1503,0.4820
0.1510,0.4820
0.1517,0.4820
0.1524,0.4870
0.1531,0.4870
0.1537,0.4870
0.1544,0.4870
0.1551,0.4870
0.1557,0.4870
0.1563,0.4870
0.1570,0.4820
0.1577,0.4870
0.1584,0.4870
0.1590,0.4820
0.1597,0.4870
0.1603,0.4820
0.1610,0.4820
0.1616,0.4870
0.1623,0.4820
0.1629,0.4820
0.1636,0.4870
0.1642,0.4820
0.1649,0.4870
0.1656,0.4870
