Время [c],Напряжение[B]
0.0000,0.2080
0.0007,0.2029
0.0013,0.2029
0.0019,0.2080
0.0026,0.2080
0.0032,0.2029
0.0038,0.2029
0.0045,0.2029
0.0052,0.2080
0.0059,0.2080
0.0066,0.2029
0.0073,0.2080
0.0080,0.2080
0.0087,0.2131
0.0094,0.2029
0.0101,0.2029
0.0107,0.2080
0.0115,0.2029
0.0122,0.2029
0.0129,0.2080
0.0135,0.2029
0.0142,0.2029
0.0149,0.2029
0.0156,0.2080
0.0163,0.2029
0.0169,0.2029
0.0176,0.2080
0.0183,0.2029
0.0191,0.2029
0.0198,0.2029
0.0204,0.2029
0.0216,0.2029
0.0224,0.2080
0.0240,0.2080
0.0249,0.1979
0.0258,0.2029
0.0266,0.2029
0.0273,0.1979
0.0283,0.2080
0.0292,0.2029
0.0301,0.2029
0.0308,0.2029
0.0316,0.2029
0.0323,0.1979
0.0330,0.2029
0.0338,0.2029
0.0345,0.2029
0.0354,0.2029
0.0361,0.2029
0.0369,0.2029
0.0377,0.2029
0.0385,0.2080
0.0393,0.2029
0.0400,0.2029
0.0408,0.2029
0.0415,0.2029
0.0422,0.2029
0.0429,0.2029
0.0436,0.2029
0.0443,0.2029
0.0450,0.2080
0.0457,0.2029
0.0464,0.2080
0.0470,0.2029
0.0477,0.2029
0.0486,0.2029
0.0493,0.2029
0.0500,0.2029
0.0508,0.2029
0.0514,0.2029
0.0521,0.2029
0.0527,0.1979
0.0533,0.2029
0.0539,0.2029
0.0545,0.2029
0.0550,0.2029
0.0556,0.2080
0.0562,0.2029
0.0568,0.1979
0.0574,0.1979
0.0581,0.2029
0.0587,0.1979
0.0593,0.1979
0.0600,0.2029
0.0606,0.2029
0.0613,0.2029
0.0620,0.2080
0.0626,0.2029
0.0633,0.2029
0.0640,0.2029
0.0647,0.2029
0.0653,0.1979
0.0660,0.2029
0.0667,0.2029
0.0673,0.2080
0.0680,0.2029
0.0687,0.2029
0.0694,0.2080
0.0701,0.1979
0.0707,0.1979
0.0714,0.1979
0.0721,0.2080
0.0728,0.1979
0.0735,0.1979
0.0742,0.1979
0.0749,0.1979
0.0755,0.2029
0.0762,0.2029
0.0769,0.2029
0.0777,0.2029
0.0784,0.1979
0.0791,0.1979
0.0798,0.1979
0.0805,0.1979
0.0812,0.1979
0.0819,0.1979
