Время [c],Напряжение[B]
0.0000,1.9989
0.0006,2.0040
0.0013,1.9938
0.0019,2.0040
0.0026,1.9989
0.0032,1.9989
0.0039,1.9989
0.0045,1.9989
0.0052,1.9989
0.0058,1.9989
0.0065,1.9989
0.0072,1.9989
0.0079,1.9989
0.0086,2.0040
0.0092,1.9989
0.0099,1.9938
0.0106,1.9938
0.0114,1.9938
0.0120,1.9938
0.0128,1.9989
0.0135,1.9989
0.0142,1.9989
0.0149,1.9989
0.0156,1.9989
0.0163,1.9989
0.0169,1.9989
0.0176,1.9938
0.0183,1.9887
0.0201,1.9989
0.0208,1.9989
0.0215,1.9938
0.0222,2.0040
0.0228,1.9938
0.0235,2.0040
0.0242,1.9989
0.0249,1.9938
0.0256,1.9887
0.0262,1.9989
0.0269,2.0040
0.0276,1.9989
0.0283,1.9887
0.0290,1.9887
0.0297,1.9887
0.0303,1.9887
0.0310,1.9938
0.0317,1.9938
0.0324,1.9938
0.0331,1.9989
0.0338,1.9938
0.0345,1.9887
0.0352,1.9887
0.0359,1.9938
0.0365,1.9989
0.0372,1.9887
0.0379,1.9989
0.0387,1.9938
0.0394,1.9938
0.0401,1.9989
0.0408,1.9989
0.0414,1.9938
0.0421,1.9938
0.0427,1.9989
0.0434,1.9887
0.0441,1.9989
0.0449,1.9989
0.0457,1.9989
0.0463,1.9989
0.0470,1.9938
0.0476,1.9938
0.0483,1.9887
0.0491,1.9938
0.0498,1.9887
0.0506,1.9989
0.0513,1.9938
0.0520,1.9989
0.0527,1.9989
0.0534,1.9887
0.0541,1.9989
0.0549,1.9938
0.0558,1.9938
0.0565,1.9938
0.0572,1.9989
0.0580,1.9938
0.0587,1.9887
0.0594,1.9887
0.0600,1.9887
0.0606,1.9989
0.0612,1.9938
0.0618,1.9938
0.0624,1.9837
0.0630,1.9938
0.0635,1.9938
0.0641,1.9938
0.0647,1.9989
0.0653,1.9887
0.0659,1.9938
0.0665,1.9887
0.0672,1.9989
0.0678,1.9938
0.0685,1.9938
0.0691,1.9938
0.0697,1.9938
0.0704,1.9887
0.0710,1.9989
0.0717,1.9938
0.0723,1.9938
0.0730,1.9989
0.0737,1.9887
0.0743,1.9887
0.0750,1.9887
0.0756,1.9938
0.0762,1.9938
0.0768,1.9938
0.0774,1.9938
0.0780,1.9887
0.0786,1.9887
0.0792,1.9938
0.0798,1.9887
0.0805,1.9938
0.0811,1.9887
0.0818,1.9887
0.0825,1.9989
0.0831,1.9989
0.0838,1.9938
0.0845,1.9887
0.0852,1.9938
0.0858,1.9989
0.0865,1.9938
0.0872,1.9938
0.0879,1.9989
0.0885,1.9938
0.0891,1.9887
0.0898,1.9938
0.0904,1.9887
0.0911,1.9938
0.0917,1.9938
0.0924,1.9938
0.0931,1.9938
0.0938,1.9938
0.0945,1.9938
0.0951,1.9938
0.0958,1.9938
0.0965,1.9837
0.0972,1.9938
0.0979,1.9837
0.0986,1.9887
0.0994,1.9887
0.1002,1.9938
0.1009,1.9938
0.1017,1.9887
0.1025,1.9938
0.1031,1.9887
0.1038,1.9938
0.1045,1.9887
0.1052,1.9887
0.1058,1.9938
0.1065,1.9938
0.1072,1.9887
0.1079,1.9887
0.1086,1.9887
0.1092,1.9938
0.1099,1.9938
0.1105,1.9837
0.1111,1.9938
0.1118,1.9938
0.1125,1.9887
0.1131,1.9837
0.1137,1.9837
0.1143,1.9837
0.1149,1.9938
0.1155,1.9938
0.1161,1.9887
0.1167,1.9938
0.1173,1.9887
0.1179,1.9887
0.1185,1.9938
0.1191,1.9887
0.1198,1.9837
0.1204,1.9887
0.1210,1.9887
0.1216,1.9938
0.1222,1.9938
0.1228,1.9887
0.1234,1.9887
0.1241,1.9837
0.1248,1.9837
0.1255,1.9938
0.1262,1.9887
0.1270,1.9887
0.1277,1.9786
0.1284,1.9887
0.1291,1.9887
0.1299,1.9837
0.1306,1.9837
0.1313,1.9887
0.1323,1.9887
0.1331,1.9837
0.1341,1.9938
0.1348,1.9887
0.1354,1.9887
0.1361,1.9837
0.1367,1.9887
0.1373,1.9887
0.1379,1.9837
0.1386,1.9887
0.1392,1.9887
0.1398,1.9887
0.1404,1.9887
0.1411,1.9887
0.1417,1.9887
0.1423,1.9887
0.1429,1.9938
0.1435,1.9887
0.1441,1.9887
0.1448,1.9887
0.1454,1.9837
0.1460,1.9786
0.1466,1.9887
0.1472,1.9887
0.1479,1.9887
0.1485,1.9837
0.1490,1.9887
0.1496,1.9786
0.1502,1.9837
0.1508,1.9837
0.1514,1.9887
0.1519,1.9887
0.1525,1.9837
0.1530,1.9786
0.1536,1.9837
0.1541,1.9887
0.1547,1.9938
0.1552,1.9837
0.1558,1.9837
0.1564,1.9887
0.1569,1.9786
0.1575,1.9887
0.1580,1.9837
0.1586,1.9887
0.1592,1.9887
0.1598,1.9837
0.1604,1.9887
0.1611,1.9887
0.1617,1.9938
0.1623,1.9837
0.1629,1.9887
0.1635,1.9786
0.1641,1.9887
0.1648,1.9837
0.1655,1.9837
0.1662,1.9887
0.1669,1.9887
0.1675,1.9786
0.1682,1.9837
0.1689,1.9887
0.1696,1.9786
0.1703,1.9887
0.1710,1.9887
